Name,Station or Publication,Date Used,Year,Month,Location,Program?,Program Content,Source,RTC,Graphic Used,Logged By,RT,TW,FB,Other Social Media,Online Article,How was it found first?,MW,On Air,Time of Airing,On Air,Time of Airings,How was TV Found?,IQ Graphic Notes,Audience Size,Publicity Value,Connects to Climate Change on Air?,Total CC Hits,Total CM Hits,Total CMN Hits,Spanish?,Download?,Comments,Link to online content,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WPIX/CW,9/18/20,2020,September,NY,CM,2020Records,CM,,2020Records,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/EricaGrowNYC/status/1306938901119012866/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica Grow,WPIX/CW,9/23/20,2020,September,NY,CM,Rapid Response Workshop: 2020 Hurricane Season,CM,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/SeanSublette/status/1308798654115917825/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica Grow,WPIX/CW,9/24/20,2020,September,NY,CM,Rapid Response Workshop: 2020 Hurricane Season,CM,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/ClimateCentral/status/1309095761175629827/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Emery,WBKO/ABC,9/24/20,2020,September,KY,CM,2020HurricanesII,CM,,2020Hurricanes_OceanT,Lisa,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/SeanSublette/status/1308775366572552192/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Regan,Rochester Environment,9/3/20,2020,September,NY,CMN,2020FallPackage,CMN,,2020FallPackage_AvgT,Kristie,0,1,1,0,0,TweetDeck,,0,,0,,,,,,,2,2,2,,,,https://twitter.com/FrankRrrr/status/1301475375315382272,https://www.facebook.com/frank.j.regan/posts/2865154806918313?__cft__[0]=AZWph3UCPC5izlt2jM6ZhCmO05aepx4ITDO5FkORT6hj3XPQxqtnZ-4XqD3I1iQg_5RV6xETHj-vMrVpvRTbC-L5LpDl8XCGhBElPT64Jb8YETtiza0uEoKaKHv6p-KmUso&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Regan,Rochester Environment,9/16/20,2020,September,NY,CMN,2020Records,CMN,,,Kristie,0,1,0,0,0,TweetDeck,,0,,0,,,,,,,1,1,1,,,,https://twitter.com/FrankRrrr/status/1306567520896405510,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Torres,KWEX/Univision,9/1/20,2020,September,TX,CM,2020JulyAugSeptTrend,CM,,2020JulyAugSeptTrend_SEPT,Lisa,0,1,1,0,0,On air,,0,,1,5:00 PM,IQ,Found,35527,521,,3,3,0,,,,https://www.facebook.com/gabrieltorrestv/posts/4293402060733590?__cft__[0]=AZWcuvcrHGbykz72N0ztHslLqMG4a7vmyG1jp6TcTijLGGe1Rrl2blJEKLp1Nyhcjy6e76o9iO6vCvbOcvv_sT6ptDxbkbRsU_tY2AdXSw-oH03LqB5TA3BB0GeqpRAdWqDcWXulzgSwgzLOdeTxoIQYl2PjemffUjy6yxTFasUJyLQY3KSGLNCNncufiVnDNk0&__tn__=%2CO%2CP-R,https://twitter.com/gabrieltorrestv/status/1300883003678298119,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KWEX/Univision,9/1/20,2020,September,TX,,2020JulyAugSeptTrend,CM,,2020JulyAugSeptTrend_SEPT,Lisa,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/gabrieltorrestv/status/1300883003678298119/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriela Teissier,KMEX/Univision,9/21/20,2020,September,CA,CMN,2020WesternWildfires,CMN,,2017WildfireAirQuality,Lisa,0,0,0,0,0,,,0,,2,"5:28am, 5:52am",IQ,Found,22136,544,,2,2,2,,,anchor/news host in CM program presenting our materials during the weather segment?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Cannalte,WMSN/FOX,9/16/20,2020,September,WI,CM,2020Records,CM,,"2020Records, 2020Records_Map",Lisa,0,0,0,0,0,,,0,,1,9:18 PM,IQ,Found,16016,328,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Cannalte,WISC/CBS,9/16/20,2020,September,WI,CM,2020Records,CM,,"2020Records, 2020Records_Map",Lisa,0,0,0,0,0,,,0,,1,6:21 PM,Broad search,Lost,29352,364,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Stephenson,Spectrum News NC/None,9/1/20,2020,September,NC,CM,2019Rainfall,CM,,,Kristie,0,0,1,0,0,Meltwater,,0,,0,,,,,,,1,1,0,,,,https://www.facebook.com/permalink.php?story_fbid=4923616740985610&id=120624961284836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Johnson,WHAM/ABC,9/8/20,2020,September,,,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1303445282848415754/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Johnson,WHAM/ABC,9/10/20,2020,September,NY,,2020WesternWildfires,CM,,2020Wildfire,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/ClimateCentral/status/1304125487053074432/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Schwartz,WCAU/NBC,9/23/20,2020,September,PA,CM,2020HurricanesII,CM,,"2020Hurricanes_OceanT, 2020Hurricanes_US, 2020Hurricanes_Global",Kristie,0,2,0,0,0,TweetDeck,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/HurricaneNBC10/status/1308783048650096640,https://twitter.com/HurricaneNBC10/status/1308783048650096640/retweets/with_comments,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy Brown,KARE/NBC,9/23/20,2020,September,MN,,2020FallPackage,CM,,2020FallPackage_AvgT,Lisa,0,0,0,0,1,Broad search,,0,,1,6:18 PM,IQ,Found,156369,1908,,2,2,0,,,,https://www.kare11.com/article/weather/weather-minds/weatherminds-fall-is-trending-warm/89-5f747586-658c-4554-92f0-e0c850e29e71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy Walton,,9/2/20,2020,September,,CM,2020FallPackage,CM,,2020FallPackage_Map,Kristie,1,1,0,0,1,TweetDeck,,0,,0,,,,,,,3,3,0,,,,https://twitter.com/climateguyw/status/1301184507765239808,http://www.guyonclimate.com/2020/09/02/extreme-temperature-diary-wednesday-september-2nd-2020-main-topic-new-fall-trends-from-climate-central/,https://twitter.com/climateguyw/status/1301184507765239808/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy Walton,,9/8/20,2020,September,,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/BernadetteWoods/status/1303385388757717001/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy Walton,,9/10/20,2020,September,,CM,2020WesternWildfires,CM,,2020Wildfire,Kristie,0,2,0,0,1,Meltwater,MW,0,,0,,,,,,,3,3,0,,,,http://www.guyonclimate.com/2020/09/10/extreme-temperature-diary-thursday-september-10th-2020-main-topic-early-september-record-scoreboard-update-and-climatological-review/,https://twitter.com/climateguyw/status/1304129433650036736,https://twitter.com/climateguyw/status/1304128624145117184,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy Walton,,9/17/20,2020,September,,CM,2020Records,CM,,"2020Records, 2020Records_Map",Kristie,1,1,0,0,1,TweetDeck,MW,0,,0,,,,,,,3,3,0,,,,https://twitter.com/climateguyw/status/1306646527335632897,http://www.guyonclimate.com/2020/09/17/extreme-temperature-diary-thursday-september-17th-2020-main-topic-summer-2020-one-for-the-record-books-via-climate-central/,https://twitter.com/climateguyw/status/1306646527335632897/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy Walton,,9/21/20,2020,September,,CM,2018WildfireSmoke,CM,,2018WildfireSmoke_Map,Kristie,1,1,0,0,0,TweetDeck,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/climateguyw/status/1308108965969039363,https://twitter.com/climateguyw/status/1308108965969039363/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haddie McLean,WISC/CBS,9/17/20,2020,September,WI,CM,2020Records,CM,,"2020Records, 2020Records_Map",Lisa,0,0,0,0,0,,,0,,2,"5:07am, 6:07am",IQ,Found,15567,134,Y,2,2,0,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haley Clawson,KDFX/FOX,9/7/20,2020,September,CA,CM,2020JulyAugSeptTrend,CM,Y,2020JulyAugSeptTrend_SEPT,Lisa,0,0,0,0,0,,,0,,1,10:49 PM,IQ,Found,3854,234,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haley Clawson,KESQ/ABC,9/7/20,2020,September,CA,CM,2020JulyAugSeptTrend,CM,Y,2020JulyAugSeptTrend_SEPT,Lisa,0,0,0,0,0,,,0,,3,"5:20pm, 6:17pm, 11:19pm",Broad search,Market,23853,854,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heather Waldman,WGRZ/NBC,9/2/20,2020,September,NY,CM,2020HeatStreaks,CM,,2020HeatStreaks,Lisa,0,0,1,0,1,Google Alert,,0,,0,,,,,,,2,2,0,,,,https://www.wgrz.com/article/weather/heathers-weather-whys-hot-summers-and-the-winter/71-6ad2fbd2-03a2-4e24-912e-c96a18bcba08,https://www.facebook.com/HeatherWaldmanWeather/posts/3298542503516754?__cft__[0]=AZUF6PqFoUji-g9YEsBeyWikSZwOEaHWStNJbcaouESNdBvoLPA4E3vaiBxZ7gumxhJ7b-neJvV95NsTE_iWrzpFmQfoPbdBy-8M3HS3ZInvvgqYDTNqpU1luXRNW8H9jeBURnQVSeew2y7gw_J388cUQ0fGd1EZOrDAsqPbGVzwMw&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Golac,KTAZ/Telemundo,9/2/20,2020,September,AZ,CM,2020FallPackage,CM,,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove, 2020FallPackage_Map",Lisa,0,0,0,0,1,Broad search,,0,,7,"5:17pm, 10:21pm on 2nd; 5:21am, 6:27am, 7:27am, 8:27am, 11:16am on 3rd",IQ,Found,104987,2475,,8,8,0,,,,https://www.telemundoarizona.com/noticias/local/aviso-por-calor-extremo-de-viernes-a-lunes-para-cuatro-condados/2093921/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Bernstein,WUSA/CBS,9/24/20,2020,September,DC,CM,2020HurricanesII,CM,,2020Hurricanes_OceanT,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/ClimateCentral/status/1309153116797820928/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian James,Arizona Republic,9/4/20,2020,September,AZ,CMN,"2019WarmSummerNights, 2019Warming",CMN,,,Kristie,0,3,0,0,0,TweetDeck,,0,,0,,,,,,,3,3,3,,,,https://twitter.com/ByIanJames/status/1301920090531663872,https://twitter.com/ByIanJames/status/1301919548422025216,https://twitter.com/ByIanJames/status/1301921196808626177,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Livingston,The Washington Post,9/1/20,2020,September,,,"2019WarmSummerNights, 2019Warming",CM,,2019WarmSummerNights,Kristie,2,0,0,0,2,Google Alert,MW,0,,0,,,,,,,4,4,0,,,,https://www.washingtonpost.com/weather/2020/09/01/phoenix-hottest-summer/,https://flipboard.com/article/hottest-season-on-record-merciless-phoenix-heat-blasts-by-all-time-monthly-sum/f-fbd0f7f7a6%2Fwashingtonpost.com,https://twitter.com/washingtonpost/status/1301083713040678917/retweets,https://twitter.com/capitalweather/status/1300901177895378945/retweets,,,,,,,,,,,,,,,,,,,,,,,,,
,The Washington Post,9/1/20,2020,September,,,"2019WarmSummerNights, 2019Warming",CM,,,Kristie,0,1,0,0,0,Google Alert,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/washingtonpost/status/1301083713040678917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Captial Weather Gang,9/1/20,2020,September,,,"2019WarmSummerNights, 2019Warming",CM,,,Kristie,0,2,0,0,0,Google Alert,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/capitalweather/status/1300901177895378945,https://twitter.com/capitalweather/status/1301171661107081222,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ira Flatow,WNYC,9/4/20,2020,September,NY,,The Inequality of City Heat,"PJ, CC",,,Lisa,0,0,0,0,1,Google Alert,,1,podcast,0,,,,,,,2,0,0,,,Science Friday podcast,https://www.wnycstudios.org/podcasts/science-friday/segments/urban-forests-and-climate-change-hiv-treatment-progress-september-4-2020-part-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene Sans,WFTV/ABC,9/24/20,2020,September,FL,CM,"2020HurricanesII, 2020FirstDayAbove",CM,,"2020Hurricanes_OceanT, 2020FirstDayAbove",Kristie,0,2,0,0,2,TweetDeck,,0,,0,,,,,,,4,4,0,,,,https://twitter.com/IreneSans/status/1309336867129774082,https://twitter.com/IreneSans/status/1309499991489228800,https://www.wftv.com/weather/orlandos-florida-humans-sculpture-brings-attention-states-climate-emergency-central-florida/XF2VCIYMIJC7FG7RTNZ47KSY3E/,https://www.newsbreak.com/florida/orlando/news/2069175121142/orlandos-florida-humans-sculpture-brings-attention-to-the-states-climate-emergency-to-central-florida,,,,,,,,,,,,,,,,,,,,,,,,,
,WFTV/ABC,9/24/20,2020,September,FL,CM,"2020HurricanesII, 2020FirstDayAbove",CM,,,Kristie,0,2,1,0,0,TweetDeck,,0,,0,,,,,,,3,3,0,,,,https://www.facebook.com/wftv/posts/10158457049353145,https://twitter.com/WFTV/status/1309462774041530369,https://twitter.com/WFTV/status/1309515506307735552,,,,,,,,,,,,,,,,,,,,,,,,,,
Iris Hermosillo,KNXV/ABC,9/22/20,2020,September,AZ,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,Mason4C and Yale Climate Comm. meterologist/climate change survey,https://twitter.com/ClimateCentral/status/1308466340227944451/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Purcell,KTUU/NBC,9/8/20,2020,September,AK,CM,2020FallPackage,CM,,"2020FallPackage_DaysAbove, 2020FallPackage_AvgT",Lisa,0,0,0,0,1,Google Alert,,0,,1,6:38 PM,IQ,Market,17706,339,,2,2,0,,,,https://www.alaskasnewssource.com/2020/09/09/climate-central-fall-temperatures-in-anchorage-have-warmed-in-the-past-decades/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Purcell,KATH/NBC,9/8/20,2020,September,AK,CM,2020FallPackage,CM,,"2020FallPackage_DaysAbove, 2020FallPackage_AvgT",Lisa,0,0,0,0,0,,,0,,1,6:38 PM,IQ,Market,2843,135,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Bruggers,Inside Climate News,9/11/20,2020,September,KY,CMN,2020FallPackage,CMN,,,Kristie,0,1,0,0,0,Repost,,0,,0,,,,,,,1,1,1,,,CM mentioned with history,https://twitter.com/jbruggers/status/1304494589223591943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Gilbert,WROC/CBS,9/25/20,2020,September,NY,CM,2020ArcticMin,CM,,2020ArcticMin,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/BernadetteWoods/status/1309513831123693568/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Gilbert,WROC/CBS,9/27/20,2020,September,NY,CM,2015PoisonIvy,CM,,2015PoisonIvy,Kristie,0,1,1,0,0,TweetDeck,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/JamesGilbertWX/status/1310395450785255426,https://www.facebook.com/JamesGilbertWX/videos/338176884122799/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janice Huff,WNBC/NBC,9/16/20,2020,September,NY,CM,2020Records,CM,,2020Records_Map.gif,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/BernadetteWoods/status/1306420708839510019/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janice Huff,WNBC/NBC,9/21/20,2020,September,NY,CM,2020ArcticMin,CM,,2020ArcticMin,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/ClimateCentral/status/1308154565800361985/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janice Huff,WNBC/NBC,9/23/20,2020,September,NY,CM,"2020HurricanesII, 2020HeatStreaks",CM,,"2020Hurricanes_OceanT, 2020Hurricanes_US, 2020HeatStreaks",Lisa,1,0,0,0,0,Repost,,0,,1,5:48 PM,IQ,Found,453812,10861,Y,2,2,0,,Done,For Climate Week,https://twitter.com/ClimateCentral/status/1309153116797820928/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janice Huff,WNBC/NBC,9/24/20,2020,September,NY,CM,2020Records,CM,,"2020Records, 2020Records_Map",Lisa,0,0,0,0,0,,,0,,1,4:47 PM,IQ,Found,273267,6540,Y,1,1,0,,,For Climate Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayme Lozano,Lubbock Avalanche Journal,9/3/20,2020,September,TX,CMN,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1301530876979838977/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Berardelli,CBSN,9/3/20,2020,September,NY,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1301530876979838977/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Berardelli,CBSN,9/11/20,2020,September,NY,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Kristie,0,1,1,0,0,TweetDeck,,0,,1,8:05 AM,Online link,Zero,312856,4612,Y,3,3,0,,,,https://twitter.com/WeatherProf/status/1304400942448750592,https://www.facebook.com/jeffweather/posts/3673128382698405,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSN,9/11/20,2020,September,NY,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Kristie,1,1,0,0,0,TweetDeck,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/CBSThisMorning/status/1304395560854720512,https://twitter.com/CBSThisMorning/status/1304395560854720512/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Berardelli,CBSN,9/11/20,2020,September,NY,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Kristie,0,1,0,0,6,TweetDeck,,0,,0,,,,,,,7,7,0,,,Article interviewed expert Dr John Abatzoglou,https://twitter.com/WeatherProf/status/1304479713168162816,https://www.cbsnews.com/news/climate-change-wildfires-snow-jet-stream-extreme-weather/,https://www.ecowatch.com/extreme-weather-climate-change-2647639196.html?rebelltitem=5#rebelltitem5,https://www.newsrust.com/2020/09/wildfires-and-weather-extremes-its-not.html,https://www.msn.com/en-us/weather/topstories/wildfires-and-extreme-weather-its-not-coincidence-its-climate-change/ar-BB18Se5p,https://www.msn.com/en-ca/weather/topstories/wildfires-and-extreme-weather-its-not-coincidence-its-climate-change/ar-BB18Se5p,https://www.greenqueen.com.hk/extreme-weather-wildfires-welcome-to-climate-change/,,,,,,,,,,,,,,,,,,,,,,
Jeff Berardelli,CBSN,9/11/20,2020,September,NY,CM,2020FallPackage,CM,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,Climate Matters history,https://twitter.com/CoveringClimate/status/1304501464295858176/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Berardelli,CBSN,9/14/20,2020,September,NY,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Lisa,0,0,0,0,1,Broad search,,0,,0,,,,,,,1,1,0,,,,https://www.theplanetarypress.com/2020/09/wildfires-and-weather-extremes-its-not-coincidence-its-climate-change/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Berardelli,CBSN,9/17/20,2020,September,NY,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Lisa,0,0,1,0,3,Broad search,,0,,0,,,,,,,4,4,0,,,,https://www.cbsnews.com/news/wildfire-climate-change-extreme-weather/,https://www.ecowatch.com/extreme-weather-climate-change-2647639196.html?rebelltitem=1#rebelltitem1,https://www.newsbreak.com/news/2057581455135/wildfires-and-weather-extremes-its-not-coincidence-its-climate-change,https://www.facebook.com/131459315949/videos/375356177190586/?__cft__[0]=AZXkyLUWe0IRlxDK11jVfFbXy41_JA766sDgM7mKDRVKxLrZ4AisLUbxknFGcF8JCbWID3ISuXYfpAnPExB36y8RhBdaBK1lEFM8bzS3VINSvXDkVnVQw_wmMqqZhY3wvFUEd2umgeDUNtU7oSlN3SR-Pxw3kEjg-aQvKt8zSlk7dvZ4DTbxxnMgPKyKo8SXFLs,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Berardelli,CBSN,9/29/20,2020,September,NY,CM,2020OHW,CM,,2020OHW_Temp,Kristie,0,1,0,0,6,TweetDeck,,0,,0,,,,,,,7,7,0,,,,https://www.cbsnews.com/news/climate-change-oceans-balance-stronger-storms-marine-life/,https://www.newsbreak.com/news/2071617033881/the-oceans-are-out-of-balance-and-that-means-stronger-storms-and-threats-to-marine-life,https://flipboard.com/@CBSNews/the-oceans-are-out-of-balance-and-that-means-stronger-storms-and-threats-to-ma/a-fwTYvprrRRG-4WH61Z47xA%3Aa%3A2476075171-29676f0ad4%2Fcbsnews.com,https://twitter.com/WeatherProf/status/1310665319858528263,https://barrie360.com/the-oceans-are-out-of-balance-and-that-means-stronger-storms-and-threats-to-marine-life/,https://www.msn.com/en-ca/weather/topstories/oceans-are-out-of-balance-%E2%80%94-and-that-means-stronger-storms/ar-BB19vEDc,https://www.msn.com/en-us/weather/topstories/oceans-are-out-of-balance-%E2%80%94-and-that-means-stronger-storms/ar-BB19vEDc,,,,,,,,,,,,,,,,,,,,,,
,CBSN,9/29/20,2020,September,,CM,2020OHW,CM,,,Kristie,0,3,2,0,0,TweetDeck,,0,,0,,,,,,,5,5,0,,,,https://www.facebook.com/CBSNews/posts/10158476830195950,https://www.facebook.com/CBSThisMorning/posts/3417543004966014,https://twitter.com/CBSSunday/status/1311032955981172736,https://twitter.com/CBSNews/status/1310655485746524161,https://twitter.com/CBSThisMorning/status/1310723412831199234,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Berardelli,CBSN,9/30/20,2020,September,NY,CM,2019Soils,CM,,2019Soils_Info,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/ClimateCentral/status/1311338661057789959/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Ranieri,KNTV/NBC,9/11/20,2020,September,CA,CM,"2020WesternWildfires, 2020HeatStreaks",CM,,"2020Wildfire_TotalAcresBurned, 2020HeatStreaks",Lisa,0,0,0,0,0,,,0,,2,"5:18pm, 6:33pm",IQ,Found,258385,9017,Y,2,2,0,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenee Ryan,KRNV/ABC,9/24/20,2020,September,NV,,2020FallPackage,CM,,2020FallPackage_AvgT,Lisa,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/JRyanKRNV/status/1309336712833675264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Castillo,KSDK/NBC,9/23/20,2020,September,MO,CM,2020HurricanesII,CM,,2020Hurricanes_US,Kristie,1,0,0,0,0,TweetDeck,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/ClimateCentral/status/1308805354227195904/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Duncan,WWBT/NBC,9/3/20,2020,September,VA,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1301530876979838977/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Duncan,WWBT/NBC,9/14/20,2020,September,VA,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1305501963841351681/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Duncan,WWBT/NBC,9/15/20,2020,September,VA,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1305846755641225217/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Duncan,WWBT/NBC,9/22/20,2020,September,VA,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,Mason4C and Yale Climate Comm. meterologist/climate change survey,https://twitter.com/SeanSublette/status/1308456964310159361/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Gandy,,9/11/20,2020,September,SC,CM,2020FallPackage,CM,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,CM mentioned with history,https://twitter.com/MaibachEd/status/1304493630250418176/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Jaggers,WREG/CBS,9/2/20,2020,September,TN,CM,2020FallPackage,CM,,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove, 2020FallPackage_Map",Kristie,0,4,1,0,0,TweetDeck,,0,,0,,,,,,,5,5,0,,,,https://twitter.com/JJaggers_WREG3/status/1301159786071896068,https://twitter.com/JJaggers_WREG3/status/1301159743759753218,https://twitter.com/JJaggers_WREG3/status/1301159690500530177,https://twitter.com/JJaggers_WREG3/status/1301162339027365888,https://www.facebook.com/JimJaggersWREG/posts/1436225796561401?__cft__[0]=AZUcBC1wv5-baKr6s2ocerCUPHvjsQOx7sVvTDgPgD7nyydDeYCYAzkFRt0E0oYniUi0JhIYJyiqjfrIPsmIrzLMQO4na3LFIwpqdlnMDyJshLY577y4cPO9_3bUa9-TAurzdGFsAMNBkGvGSw6GsEBAKOOdmSANqf-Gs6hsh3Xueg&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,
Jim Jaggers,WREG/CBS,9/11/20,2020,September,TN,CM,"2020WesternWildfires, 2020SmokeWaves",CM,,"2020Wildfire_TotalAcresBurned, 2020SmokeWaves, 2017WildfireAirQuality",Kristie,1,0,1,0,0,Repost,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/CBSThisMorning/status/1304395560854720512/retweets,https://www.facebook.com/JimJaggersWREG/posts/1442550569262257?__cft__[0]=AZVXphXTQaTubTccTtLoJDQo_yGX9e94_pDzrjNrxUJ3xJgnKzzyIvx7EGsyAE_iSgbTdLfUqFFxumrCIATQKEf7MhqNlTON1Lb8Q8xQ3YhQV3IoEXUGf6zWvaLPgAGv_NcDBoA1-0kudJ7n7IHp-VF2P8OKQC1qtn5D4RxpdA3_Wg&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Jaggers,WREG/CBS,9/17/20,2020,September,TN,CM,2020Records,CM,,,Kristie,0,1,0,0,0,TweetDeck,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/JJaggers_WREG3/status/1306739014301556737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
